trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
292,False,"{'e': 0.053146763527792434, 'a': 0.5}",30,16,26.43296656290076,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'e': 0.052615295892514506, 'a': 0.5}",20,14,12.273773519615219,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'e': 0.052089142933589364, 'a': 0.5}",25,11,24.944567478083986,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'e': 0.05156825150425347, 'a': 0.5}",25,11,-4.1758979360424,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
296,False,"{'e': 0.051052568989210935, 'a': 0.5}",20,15,9.179914006907396,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'e': 0.05054204329931883, 'a': 0.5}",35,18,14.599958533807463,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
298,False,"{'e': 0.05003662286632564, 'a': 0.5}",20,13,15.582310896308407,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'e': 0.04953625663766238, 'a': 0.5}",20,0,32.91217225689512,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'e': 0.0, 'a': 0.0}",20,13,13.95982161474668,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'e': 0.0, 'a': 0.0}",30,12,36.865636892883565,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'e': 0.0, 'a': 0.0}",30,18,25.064400490808694,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'e': 0.0, 'a': 0.0}",25,9,29.111886179034915,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'e': 0.0, 'a': 0.0}",20,15,9.409626089533926,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'e': 0.0, 'a': 0.0}",25,16,15.480355366058241,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'e': 0.0, 'a': 0.0}",20,8,21.966056194915925,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'e': 0.0, 'a': 0.0}",25,17,16.81050780949498,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'e': 0.0, 'a': 0.0}",25,14,19.363922172074833,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
